ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.03454491703013724,0.005700392216621795,0.033319909914620055,0.1994822587143854,0.7269525221242356
2,0.7307734611537908,0.0027330689157918156,0.009080412038239732,0.21237672187641934,0.04503633601575833
3,0.5802683349714948,0.004671585973751253,0.01593541315966471,0.07142501322629079,0.32769965266879847
4,0.22518730792050215,0.01608356766133562,0.029275499226224713,0.32519897938021103,0.40425464581172643
5,0.6084592148575879,0.0003316076274724842,0.0072490581940126975,0.289793318066527,0.09416680125440002
6,0.28585125925386423,0.007072734296079585,0.02971314574403301,0.4968018883640752,0.18056097234194787
7,0.06197694651220817,0.008116804992833999,0.2758411966225788,0.2242353275999016,0.4298297242724774
8,0.8125676285110988,0.05071437605922646,0.03903609804461284,0.009388581229233165,0.08829331615582862
9,0.6758246000048344,0.0022728006812826646,0.006718829170477218,0.222620924375597,0.09256284576780871
10,0.5817215248803262,0.0018441469009406674,0.038641810708734695,0.3012208862581624,0.07657163125183607
11,0.6827410790011319,0.0018043769243048949,0.006855541944675417,0.2168695962512555,0.09172940587863228
12,0.012603561345176704,0.0029950711923811633,0.1647227642953875,0.22132142580383765,0.5983571773632169
13,0.6250809432769802,0.001697605021032813,0.0324987508305146,0.16576583022638255,0.17495687064508988
14,0.6559720413885676,0.00040642847764579804,0.026660536575812684,0.09341058059044753,0.22355041296752642
15,0.7127417761443465,0.002940605412794428,0.00996198674705611,0.18406190889048094,0.09029372280532195
16,0.6856133221630129,0.0018028703739637712,0.006711039704485367,0.21385828297813467,0.09201448478040324
17,0.4008781514312066,0.002941258345826716,0.028559220723421413,0.48275536979127853,0.08486599970826682
18,0.4509339873851455,0.002765588439758457,0.019912134357370697,0.3649513561011853,0.16143693371653997
19,0.5636322667143229,0.0042794628768348325,0.022501856964481686,0.09957868072153321,0.31000773272282744
20,0.034732228352926275,0.00760353298886679,0.18625718029822672,0.023572449708954838,0.7478346086510254
21,0.7088565959712211,0.0030423419389334692,0.013933438500614242,0.08156865752753897,0.19259896606169238
22,0.0087492675863024,0.01318570151424709,0.07066698022295564,0.014825727214629589,0.8925723234618652
23,0.6126186375531523,0.0025136442447075322,0.00956795150395443,0.16516139136146246,0.21013837533672328
24,0.0838086225025693,0.007206084178496911,0.08193496140800924,0.007135208451301343,0.8199151234596233
25,0.7513316470279978,0.00041905469500920067,0.009608847164511193,0.14486383406534376,0.09377661704713798
26,0.45735879685278985,0.00426672364072522,0.043991223836965555,0.013788820199958798,0.48059443546956054
27,0.7520335455153955,0.003825835137499487,0.011001921469920581,0.047131502639246044,0.18600719523793832
28,0.07978917548442173,0.13274281952902514,0.30594961254671815,0.010567913730243938,0.470950478709591
29,0.5275504425731293,0.002255044829725034,0.016897701688594006,0.36144805752627923,0.09184875338227239
30,0.5769557981477207,0.0022281080913770248,0.013085978738221838,0.3125165402896539,0.09521357473302666
31,0.2890301717722668,0.0024388942342777353,0.09025472934410889,0.10460534468192191,0.5136708599674247
32,0.7064883367576256,0.0004919086518859277,0.006118906699525327,0.12557835058127928,0.16132249730968398
33,0.41155277484741,0.0036783569200420515,0.07914480902320584,0.013035205360910879,0.4925888538484313
34,0.8450031055113466,0.004588745752938214,0.006513654206738395,0.051300214689709696,0.09259427983926717
35,0.15685014484122303,0.013264243818051616,0.024425918818269863,0.03901525736130806,0.7664444351611474
36,0.5139168730190976,0.0024960942702986198,0.019489421598996855,0.200077921283115,0.26401968982849194
37,0.2724070526744646,0.004168432463086497,0.04373635205677085,0.005465420050049953,0.674222742755628
38,0.7549869478075945,0.0024688828165584007,0.005238639036885765,0.16952183408989777,0.06778369624906365
39,0.3989840501009007,0.0002571854732802884,0.014799603449381743,0.3186007323736179,0.26735842860281944
40,0.3644877571348008,0.0024725584448668206,0.04882288185221703,0.05928424093782111,0.5249325616302941
41,0.14935874496852655,0.008317174974822603,0.0237675742314451,0.20306637163956753,0.6154901341856381
42,0.04473133878231906,0.015015435815754694,0.11699769967555608,0.014312243275049203,0.8089432824513211
43,0.7398816192797534,0.00422094039114621,0.007736679700470633,0.04043578069499403,0.2077249799336358
44,0.03888474876751583,0.04030643752728318,0.17912678610350122,0.021294535336898155,0.7203874922648016
45,0.4234321340324157,0.004524229346174555,0.05899542942229491,0.017857592265873662,0.49519061493324107
46,0.37834895399062685,0.002190765489604673,0.05161938038846347,0.06548265064483973,0.5023582494864652
47,0.5636322667143229,0.0042794628768348325,0.022501856964481686,0.09957868072153321,0.31000773272282744
48,0.4907659389904264,0.0021728023824499555,0.06217741367883147,0.25599880626323496,0.18888503868505713
49,0.33569387542180357,0.0032477021137393256,0.025251706784121693,0.39148349783120784,0.2443232178491276
50,0.03244275603462552,0.0057380142954226885,0.04435026566109628,0.23209715891408692,0.6853718050947686
51,0.06174838361461926,0.03964828752023133,0.08745464320571487,0.08137963240546683,0.7297690532539676
52,0.19959540709509138,0.006742404667055578,0.06306486008039745,0.6476863030592678,0.08291102509818786
53,0.7993446893503077,0.003913802552359217,0.006813103652093706,0.042518579885099515,0.14740982456013996
54,0.13637235547481555,0.009065340979700355,0.03228344490346338,0.061742038667639866,0.7605368199743808
55,0.05344864265627994,0.014643478046034074,0.12984755488113878,0.027848670551217706,0.7742116538653295
56,0.3836891136415052,0.003919043265035221,0.09368944571010118,0.3420499390018541,0.17665245838150426
57,0.6064262137638433,0.0027619835897199456,0.010357231904091073,0.2815884804288871,0.0988660903134585
58,0.006875155886265854,0.012998756967494062,0.08639030886112055,0.01767742377744201,0.8760583545076776
59,0.04172289339272539,0.010255472622366209,0.05384196592664311,0.0023577976484878862,0.8918218704097773
60,0.49370039223048284,0.002786456316160505,0.011114844621465815,0.21211663127668354,0.2802816755552073
